,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
0,2.097476953176837e-06,2.1804156008249904e-06,2.368415049630783e-06,4.493828937704807e-06,4.550118128358718e-06,3.174489645400934e-06,4.408060870009246e-06,3.146411245659663e-06,1.3163364751696707e-06,3.452698588779683e-06,-1.6490865341543371e-06,1.5154086750302689e-06,2.7816548032370943e-06,1.305878926223675e-06,7.393598766865038e-07,1.454688362842979e-06,1.3156666363519895e-06,1.4533505016543309e-06,3.499420003711016e-06,2.2200913044438355e-06,5.282948032921748e-07,1.0996596896010857e-06,7.062267089546176e-07,1.5810098126993053e-06,1.567270011628017e-06,4.525993207184672e-06,9.122069951861596e-07,1.284663741591327e-06,2.8215815580867714e-06,2.5687947541618533e-06,2.0784313253030865e-06,1.7104537903826576e-06,1.839146388161389e-06,1.1487607173400763e-06,9.442301542286201e-07,1.640992916704106e-06,2.3054769630541684e-06,3.5437335106576223e-06,1.4753362023437841e-06,2.0279867940377536e-06,1.5045255874856128e-06,4.795602753298496e-06,1.642384949079422e-06,1.472951352588533e-07,1.6240285816506236e-06,2.0643497665883476e-06,2.8527044474694544e-06,4.4551036215044413e-07,1.8099973494486812e-06,3.4583625704117852e-06,9.39597238376316e-07,2.5770909223318368e-06,9.211485931629504e-07,9.098777795126699e-07,1.0624923814845412e-06,1.4784252513799757e-06,1.5290214778380906e-07,3.0520486987062607e-06,2.4651703569346947e-06,3.162228344663189e-06,2.3992253913107414e-06,2.9942799860097234e-06,1.9032990927991929e-06,1.774919357243143e-06,2.396854966711678e-06,3.386183187384689e-06,7.355041894859831e-07,2.329663911159791e-06,2.313292738619193e-06,2.5032306388658028e-06,1.293611148946793e-06,1.9594488458190426e-06,-5.726626468459093e-07,3.7812076751604284e-06,1.2974487856525384e-06,2.8973668931191785e-06,1.874273985540313e-06,3.6452903324810996e-06,1.8577071226753144e-06,1.3423712092916382e-06,1.4665077885505423e-06,2.1019395308634774e-06,2.513829507312168e-06,1.7175394001615807e-06,1.8326201582268074e-06,-3.917669020054988e-07,7.311137258068393e-07,1.6179187846756743e-06,1.3206581512393008e-06,6.477659042452935e-07,2.2099969279311658e-06,-7.533535373091472e-07,2.510037070825446e-06,2.175881696741372e-06,3.875784607786446e-08,2.578758231290735e-06,3.0630925584875435e-06,2.3406819799119007e-06,1.6554371008736535e-06,1.6455518143326289e-07,3.247569792573359e-06
1,2.1804156008249904e-06,6.070201465337971e-06,2.8338304203615273e-06,2.5848468416472994e-06,5.391360433083794e-06,3.9476713411420995e-06,3.0292190366468636e-06,3.913909528971263e-06,1.2297713257853786e-06,4.21382098355895e-06,-2.136860919187442e-06,1.2766785859597624e-06,1.1138894052477112e-06,9.436246597508723e-07,1.415373274458764e-08,1.2874558058152265e-06,9.558888991355478e-07,1.2632248441250286e-06,4.109014945925661e-06,1.418183208076452e-06,5.677792582903939e-07,9.584016602300498e-07,-3.963468753343257e-08,1.5313831984741372e-06,3.9724929667496077e-07,4.5680251283071196e-06,-1.4277885294594567e-07,1.1055503370204554e-06,2.5115346882182262e-06,2.3446358742961997e-06,1.3262253760589394e-06,2.628320724810695e-06,9.257804571345724e-07,1.4348379108355053e-06,8.15445398785076e-07,1.6417863904523538e-06,2.6745040528194835e-06,4.241312658875316e-06,6.291539942807664e-07,4.404259877679803e-06,1.426562184954236e-06,4.6618533791545265e-06,1.456041271157472e-06,-1.182154471457139e-06,1.4251658354400001e-06,2.801448298971496e-06,2.374872051240485e-06,-3.7501578526761544e-07,2.079450064674433e-06,2.9061765730573766e-06,5.349739402502348e-07,2.799179254370679e-06,4.420779138376372e-07,-5.7828506599004385e-08,6.425561105028409e-07,1.052901767850306e-06,3.296829384406234e-07,2.106026852985203e-06,2.647165404420222e-06,2.3888743492098225e-06,3.91323948920407e-06,3.889888811331534e-06,2.1279814889659623e-06,1.1927927018752636e-06,1.8307291342255334e-06,3.0225145935114793e-06,-9.567180979969304e-07,1.6684620264271594e-06,2.940323489593424e-06,1.3475079111206865e-06,2.1623926964224556e-06,1.6345935329114924e-06,-1.018887094811951e-06,2.230601635397245e-06,8.972664219298782e-07,9.850515454312075e-07,9.813618960755455e-07,5.335769371077004e-06,1.833646450424609e-06,9.30649950015636e-07,6.16277715815769e-07,2.230869815196201e-06,1.5099014022285944e-06,1.322468696325196e-06,2.1540513535947318e-06,2.1641161967623855e-09,2.030939748797672e-06,1.0499365107739092e-06,1.6141457340237197e-06,2.522942268515521e-07,3.351299867593172e-06,-7.919215230074075e-07,2.997904077337644e-06,2.2077130281953045e-06,-1.3735810622301646e-07,3.1062703314828366e-06,4.111635526717078e-06,2.758146849943812e-06,4.5280514422091467e-07,-4.948471937101993e-07,1.4540146991767155e-06
2,2.368415049630783e-06,2.8338304203615273e-06,5.359149293691563e-06,5.144315748653281e-06,5.906257000315321e-06,4.142503564249542e-06,7.281365570817695e-06,4.094573240877857e-06,1.5129107605581253e-06,5.386080968339572e-06,-2.406230345899492e-06,9.830647359122562e-07,2.8568830614992984e-06,1.1610965869470674e-06,5.881943655811947e-07,9.729345768775739e-07,1.4622177784955326e-06,1.01926266349709e-06,4.0260313983754235e-06,2.8603265213192407e-06,-7.815575119929097e-08,6.722785298038158e-07,6.720435182584244e-07,1.3162976429486074e-06,1.270485351779311e-06,5.888643445309115e-06,2.784437082393101e-07,7.765672411875191e-07,1.633283784234651e-06,3.167445910397501e-06,1.7676975770275716e-06,1.5707399050424294e-06,1.4996276676423041e-06,7.657367067250102e-07,1.590688971222736e-06,1.099560609024021e-06,2.734476975196323e-06,5.892434399548416e-06,1.6385594965110377e-06,3.7031935736966713e-06,7.223548256746242e-07,5.848215755402193e-06,1.506270733656376e-06,-1.1776469689604638e-07,1.0166675214976723e-06,3.0714614595042377e-06,5.425125214018078e-06,-9.726709207803882e-07,1.5271129192606036e-06,2.832775054197127e-06,1.5650364016661956e-07,1.5377366780102669e-06,8.675149556312696e-07,4.415913305769002e-08,3.478023219589281e-07,1.0749065980774547e-06,3.8998086254303463e-07,3.836757677507624e-06,2.4460053302567497e-06,2.79722724375757e-06,3.5613523207828077e-06,4.286699716813779e-06,2.0249959207614755e-06,1.840571437937501e-06,1.92894560358443e-06,3.3968737763904803e-06,-8.725988311631617e-07,2.236294057799733e-06,2.916042347776829e-06,2.516559967074357e-06,1.8427860319653162e-06,1.150993518286683e-06,-3.330848185384312e-07,1.5349552113123237e-06,4.807947210553787e-07,9.10027439897116e-07,1.646475941418407e-06,4.519035546352593e-06,1.2737384689296013e-06,9.197674998284988e-07,1.3232717722148457e-06,3.1975561672425886e-06,2.4681090639623667e-06,2.441659494885599e-06,8.074733657425322e-07,-1.6582406056105392e-07,1.9266853215579077e-06,1.8391045529788553e-06,1.322361169050934e-06,7.959972228565314e-08,2.755140933852616e-06,-6.801510358295194e-07,2.5262934185395404e-06,1.4790660805805555e-06,-7.196889910270081e-07,3.3072758138399055e-06,4.33022799521771e-06,7.933135595832343e-07,1.889397887030695e-06,-3.527310394989114e-07,1.405650834994635e-06
3,4.493828937704807e-06,2.5848468416472994e-06,5.144315748653281e-06,1.4152485334260568e-05,1.020310805177152e-05,7.096940271696876e-06,1.1506469620091952e-05,7.029126240388125e-06,2.593223363616128e-06,7.818060330033753e-06,-3.8008847285976457e-06,2.2140955502362365e-06,8.198063923366895e-06,1.7734689468087236e-06,2.455908983253336e-06,4.299683218461056e-06,3.3893201263604128e-06,3.7374262407066613e-06,7.945708145431963e-06,4.844417736938645e-06,5.519690034307659e-07,1.5717824843361477e-06,1.744408383969181e-06,3.9696235724309615e-06,4.273869117959186e-06,1.1342837917346242e-05,2.5357927670937183e-06,2.884525063957924e-06,6.920431087502769e-06,5.653169978505659e-06,5.036400805542373e-06,3.5964857712065955e-06,3.4763641853550943e-06,1.4564378459512564e-06,9.006991879599659e-07,3.0943737416516977e-06,4.475909671044667e-06,8.394882646324701e-06,3.6379526107484082e-06,2.652505653697743e-06,3.5291772129331562e-06,1.1549924661775481e-05,2.2141530113396045e-06,6.593117303364395e-07,3.445982821352718e-06,3.886264306450525e-06,7.75750135313825e-06,9.039313556568232e-07,2.751923561625308e-06,7.85587877870591e-06,2.0500074959172834e-06,4.066662759286816e-06,2.88188053170999e-06,2.129440101811969e-06,1.2158336775530195e-06,3.204565850895848e-06,-2.4181835978935763e-07,6.9671120901353866e-06,4.477357290601417e-06,7.077029640631856e-06,5.148515954707496e-06,6.446180469728723e-06,3.056930799197931e-06,3.3758344285920026e-06,4.5752051807614364e-06,8.862485383104092e-06,1.1276383150977052e-06,4.488184362478596e-06,4.290065900073989e-06,4.920081009392085e-06,2.5230818210084077e-06,4.707425875368231e-06,-1.7525504915534315e-06,8.363896165989413e-06,1.1722260851719522e-06,6.430667663696073e-06,4.737449757482579e-06,7.1294506886280325e-06,4.263735527041985e-06,2.804022003117511e-06,3.6966697949772304e-06,5.983265558009299e-06,5.611864805992205e-06,3.841007228794724e-06,4.349072933983938e-06,-1.2430564807239172e-06,2.8868572593787954e-07,2.8836686178718468e-06,2.177419247183272e-06,1.43647104257155e-06,4.031506063960845e-06,-1.5860332356091252e-06,5.506327052132863e-06,3.8088791327229475e-06,2.2291318845549263e-07,3.4310202773429658e-06,7.218285532060827e-06,3.5664722974509996e-06,3.0872155062699464e-06,3.302345973903104e-07,7.267313810773498e-06
4,4.550118128358718e-06,5.391360433083794e-06,5.906257000315321e-06,1.020310805177152e-05,1.7783706980241415e-05,7.650852605753185e-06,6.137807460422573e-06,7.561105201085426e-06,2.16217166929227e-06,8.834068612249744e-06,-3.8396974350212275e-06,2.447413123174598e-06,5.834721661507164e-06,2.002195780308945e-06,5.457009350064282e-07,3.358843842184154e-06,1.8059548043178005e-06,2.882491464478299e-06,1.1770376771153286e-05,5.063083622408602e-06,1.4195594017831348e-06,1.6707334494525022e-06,6.387569073913433e-07,2.958498576188794e-06,2.5697035882369024e-06,1.0753213770266695e-05,1.3459347133923367e-06,2.1168302108198054e-06,6.257630646529483e-06,5.107828461351428e-06,4.681606830830054e-06,4.042088412854942e-06,2.9865370250067835e-06,3.324615823110155e-06,1.5961774532400755e-06,3.5636462832002703e-06,4.971600645363375e-06,5.920119850831629e-06,2.354786606092751e-06,5.008541430264854e-06,3.0243976569084155e-06,1.3565147727892212e-05,1.556438475299265e-06,-1.634368086152575e-06,1.9189535201322398e-06,4.8088746042055745e-06,6.943142449288775e-06,-1.918871121451997e-06,3.983427832986139e-06,7.974132576068618e-06,1.6595055621419771e-06,4.477140594191682e-06,1.6653052334876534e-06,4.601429454886324e-07,1.063932585297728e-06,1.917976585840896e-06,-2.5385945898994923e-07,7.19159851444139e-06,3.6314430147410908e-06,6.525595063396991e-06,5.520096873201489e-06,9.965244616900222e-06,4.069610482328615e-06,2.698069293032938e-06,4.750483973465377e-06,7.889608844165656e-06,-1.5564436078219768e-06,4.251037132386406e-06,5.003272951843531e-06,4.793761180156959e-06,1.4765408141100827e-06,4.796920097192885e-06,-1.9555974866630302e-06,6.470430431010067e-06,4.513997020082559e-06,4.4607547805894845e-06,4.447712458741701e-06,9.429987026925218e-06,4.4923973349263705e-06,2.4277909977573924e-06,1.8340169347572173e-06,4.272044774461235e-06,4.485504008052856e-06,2.706696116699228e-06,3.880945462186998e-06,-3.924820176441128e-06,5.458280732265848e-07,2.5857016557184185e-06,2.8417718462902284e-06,2.2193243867971983e-07,5.3975379914041176e-06,-2.0353745376759974e-06,5.419272519715328e-06,4.576919248993312e-06,-9.157389449042241e-07,4.281610258484904e-06,1.1315773913439013e-05,4.452633229214211e-06,2.675304841409678e-06,-9.793906146534772e-07,4.805757919140057e-06
5,3.174489645400934e-06,3.9476713411420995e-06,4.142503564249542e-06,7.096940271696876e-06,7.650852605753185e-06,6.818150713219971e-06,6.4490440189259915e-06,6.73776279539026e-06,2.28421895620998e-06,5.235581202942768e-06,-3.5670724195782424e-06,1.9649031264562002e-06,4.0739587707293805e-06,1.5979583398224776e-06,6.353270102799134e-07,2.6180700013624355e-06,1.7979480405526985e-06,2.5826426461148157e-06,5.874693248261442e-06,3.035302288138817e-06,8.569916839009871e-07,1.3592424186994912e-06,9.502140238706317e-07,2.175349122741841e-06,2.0749172195802643e-06,6.811522535857497e-06,1.0221715821432127e-06,1.389600043145986e-06,4.316076619105977e-06,3.813441645191479e-06,2.718148121601878e-06,2.5677688094877623e-06,2.115896527365313e-06,1.7479127555186612e-06,1.217952623832279e-06,2.692042919952844e-06,4.5020469479165485e-06,6.085702362656596e-06,1.861017358027928e-06,3.431546179008681e-06,2.454945769220566e-06,6.6372941940345436e-06,2.220031151664949e-06,-3.61279569915018e-07,2.040161735858306e-06,2.5813064806588163e-06,5.6726367329051804e-06,-6.852579763398955e-07,3.0520103664717396e-06,5.046876857838563e-06,4.675863111686638e-07,3.2107960358704762e-06,1.2668665967635424e-06,-8.917971811231656e-08,5.413657894843524e-07,2.199411415291064e-06,-2.531406256820382e-07,3.844061272671556e-06,3.4924966902980214e-06,4.6444916282033394e-06,3.0073828540466974e-06,3.492362698639817e-06,2.5158436641917866e-06,2.4980221042509875e-06,3.0313212844097422e-06,4.928842752827214e-06,4.137733668952247e-08,4.057717508821013e-06,3.4640490875319258e-06,4.350664992307782e-06,2.3437403617201973e-06,2.4758362526571213e-06,-1.897347381690357e-06,5.578009646949558e-06,2.91252658503824e-06,3.294836377530099e-06,2.5552828501199112e-06,5.729280647740332e-06,2.8947910156639742e-06,1.7815049894858867e-06,1.747042682305673e-06,3.7250596622173526e-06,3.5227896442107144e-06,1.8957609431113198e-06,2.552531977715711e-06,-7.827958957384878e-07,1.629606564268831e-06,2.823713079179914e-06,1.8640901164194958e-06,1.1591609769994959e-06,3.5626836041268064e-06,-1.7816071483473599e-06,3.4164282013924737e-06,2.7635250863023442e-06,-5.8686897757118175e-08,3.1970851688103973e-06,4.082545758196691e-06,2.799057152288019e-06,2.2399332086590794e-06,-8.369990833717378e-07,4.566132059372284e-06
6,4.408060870009246e-06,3.0292190366468636e-06,7.281365570817695e-06,1.1506469620091952e-05,6.137807460422573e-06,6.4490440189259915e-06,3.4524805352324587e-05,6.427297213415119e-06,2.942260518970508e-06,8.455850165032401e-06,-3.6604303617187088e-06,-1.7176631378609718e-06,5.533681009967718e-06,3.1779990895172596e-06,2.6310268464767348e-06,1.327717729253018e-06,3.46033325600828e-06,2.2861785696525947e-06,5.718865110509735e-06,3.4043860243636724e-06,-3.3655100241831363e-06,2.03873148371495e-07,3.02943520666495e-08,2.716307825011507e-06,4.671480113095696e-06,9.149481421523528e-06,2.0153608459569778e-06,2.192840213881141e-06,3.532774264983928e-06,5.108142856743804e-06,2.469579668731158e-06,6.622014574769707e-07,4.321421411537063e-06,1.9326115411273702e-06,2.653479465507662e-06,2.531824365958871e-06,3.729758296196098e-06,1.2329261078899954e-05,5.0363637590216986e-06,6.63031842628353e-06,4.946802048850152e-06,5.6388211315339745e-06,4.936792640023954e-06,4.530788919438035e-06,4.047951980421358e-06,4.105181817083243e-06,6.118692671085482e-06,1.383844423488864e-06,-1.403578091095115e-06,4.823629368378565e-06,3.6747847052872613e-06,1.4667588870413743e-06,6.0290425581325e-07,3.1424049694687505e-06,1.157377776418404e-06,3.6604963083119365e-06,3.5461969372147766e-07,4.7296634671218545e-06,7.49589110576078e-06,4.203209955356716e-06,8.913048171599772e-06,2.083051217442345e-06,5.829885181993614e-06,5.5502864014689074e-06,3.4364797376180936e-06,6.715806275017563e-06,6.4402116842925485e-06,3.928210545623562e-06,3.562659291979631e-06,3.7368927133594832e-06,2.6845113484152392e-06,1.5664928731798129e-06,8.068631513467895e-07,5.690058120565737e-06,-4.179064200735713e-06,6.693352233246503e-06,2.7608962893436414e-06,5.113886594527946e-06,5.632366653523099e-07,1.2440482218587766e-06,6.093912134681921e-06,7.516532989544088e-06,6.122126782656513e-06,3.7472392907406735e-06,2.406909785458949e-06,5.7395743910377345e-06,3.886841509568345e-06,6.4848219222974744e-06,1.839690665696193e-06,-1.9973129885064063e-08,2.148512042516107e-06,4.960127572071243e-07,1.511440038454822e-06,1.3012107751792283e-06,-1.6775462593522831e-06,4.606970326800259e-06,5.907619722884666e-07,3.5171730460985644e-06,4.876669965058231e-06,2.973410221547803e-06,7.864084264331244e-06
7,3.146411245659663e-06,3.913909528971263e-06,4.094573240877857e-06,7.029126240388125e-06,7.561105201085426e-06,6.73776279539026e-06,6.427297213415119e-06,6.672866673303219e-06,2.2148278970956442e-06,5.218986598868935e-06,-3.4818503835690035e-06,1.893411582706957e-06,3.961269440888043e-06,1.5549761472619264e-06,5.82698933699512e-07,2.4977626283463386e-06,1.8160191278563392e-06,2.5158671106650965e-06,5.9229402355741986e-06,3.0462375732357983e-06,8.191603599659052e-07,1.3629317678692793e-06,9.359744179278644e-07,2.147889908668558e-06,2.0712100444096177e-06,6.768399542886661e-06,1.052073127240646e-06,1.3754524103935819e-06,4.266762139044965e-06,3.757155932286785e-06,2.695423744439573e-06,2.594775179446618e-06,2.03883744908499e-06,1.8696083457641831e-06,1.228290478172319e-06,2.6665814479536203e-06,4.459166863934602e-06,6.193300941124405e-06,1.845090232412746e-06,3.3488473394529457e-06,2.4974893405792957e-06,6.523812531848384e-06,2.061068280170911e-06,-3.7131363124289845e-07,1.989512820046586e-06,2.5837144681899708e-06,5.563679483980362e-06,-6.757884620718631e-07,2.9551729710746045e-06,5.027038147492689e-06,5.189434201554374e-07,3.180396619010501e-06,1.3124001577885148e-06,-4.967730128071302e-08,5.286293661630518e-07,2.1503163126127367e-06,-2.0888425600030714e-07,3.8538962337139554e-06,3.4044412374315294e-06,4.585499870635039e-06,2.9807578227767487e-06,3.461314202082616e-06,2.514944842022438e-06,2.572438852788062e-06,2.999053745007071e-06,4.899687563242816e-06,1.3582191436243117e-07,4.000283576451645e-06,3.424111229450243e-06,4.230534025209712e-06,2.3299547020191137e-06,2.419950201553808e-06,-1.8998023841781687e-06,5.52105799652614e-06,2.8871549945714377e-06,3.268013351260327e-06,2.552022406182954e-06,5.675483096672178e-06,2.8410754538217672e-06,1.7653397187927868e-06,1.7513947905464479e-06,3.6748853115161924e-06,3.4875331587069975e-06,1.8840776529639698e-06,2.495171501026918e-06,-8.380731921333497e-07,1.5932641169600516e-06,2.8138453799528625e-06,1.845972926581059e-06,1.1476219432603463e-06,3.566064514872564e-06,-1.8204092940751577e-06,3.3977933503325863e-06,2.6824712836038886e-06,-5.4980748602150184e-08,3.1045228634273782e-06,4.051853856334064e-06,2.772032518206332e-06,2.1728843582641335e-06,-8.290102851518084e-07,4.494676850539307e-06
8,1.3163364751696707e-06,1.2297713257853786e-06,1.5129107605581253e-06,2.593223363616128e-06,2.16217166929227e-06,2.28421895620998e-06,2.942260518970508e-06,2.2148278970956442e-06,1.5442609589320732e-06,1.5963198313793586e-06,-1.6739324559338403e-06,1.4618111614577803e-06,1.851989859961729e-06,1.3372902854152567e-06,7.711393943050961e-07,1.484563515953461e-06,7.699941750206308e-07,1.2415912422476331e-06,9.60093531636153e-07,1.2863921240176821e-06,4.3456564318292045e-07,9.597908253652918e-07,7.25009672589113e-07,8.778565370932474e-07,9.066999356794986e-07,2.2793191568018306e-06,4.186228258958938e-07,6.445258244167031e-07,1.6134198608412857e-06,1.9042567277681208e-06,1.1567056307978696e-06,4.3471741477939076e-07,1.7750059745873278e-06,3.9088880743570484e-07,9.312735402530008e-07,1.1131974354130479e-06,1.8372732965554936e-06,3.1928809133565153e-07,1.1777274666584752e-06,1.5505331918450543e-06,8.43020621042223e-07,2.7167857537644043e-06,2.2957230507992284e-06,3.927651108265595e-07,1.3389593006703526e-06,9.510130062751218e-07,2.8013421884581613e-06,1.5557461788363327e-07,1.6442041340324973e-06,1.8340813747499356e-06,3.386014901986427e-07,1.689079116503829e-06,1.4628768959476793e-07,1.27839956448299e-07,9.406696062653574e-07,1.4339435740428262e-06,-7.931503132072835e-08,1.6456973569612857e-06,2.265809022684772e-06,1.942535979669631e-06,1.3780344451942684e-06,1.2463653095683166e-06,1.1754858531821011e-06,8.64902904332789e-07,1.559681803535142e-06,1.3531985895104842e-06,2.6112952351940693e-07,1.9856708290012077e-06,1.2560413422913424e-06,2.502979386581324e-06,1.1893713222211937e-06,1.0856989224040239e-06,-5.083692032981452e-07,2.4770837479424783e-06,8.457785263174122e-07,2.1463855297412434e-06,1.0957899987084424e-06,2.12896193136692e-06,1.239846030770834e-06,1.0445511627029645e-06,8.773420836937344e-07,1.345842315003097e-06,1.9725288742373027e-06,1.0237985508952442e-06,1.1441313615601947e-06,6.883410228626898e-07,1.1183146678255015e-06,1.1955850252442557e-06,8.703718074618683e-07,7.776819594175903e-07,1.0500922150848443e-06,-2.971289469365211e-07,1.1371494682957631e-06,1.805505713687551e-06,4.826867849644616e-07,2.378160751633952e-06,1.2112171363648659e-06,1.4465674142647596e-06,1.901165749520826e-06,-2.5998613889744534e-07,2.238265708984259e-06
9,3.452698588779683e-06,4.21382098355895e-06,5.386080968339572e-06,7.818060330033753e-06,8.834068612249744e-06,5.235581202942768e-06,8.455850165032401e-06,5.218986598868935e-06,1.5963198313793586e-06,9.553764591688151e-06,-2.2479693181989513e-06,1.4554005476542782e-06,4.324945674062851e-06,1.4511529117201213e-06,1.056848791116643e-06,9.561112507467019e-07,2.4947468930236464e-06,1.2095781264847952e-06,7.892568235950596e-06,3.5885725091104865e-06,1.8036327263645666e-07,8.734215251261024e-07,1.3814163685885785e-06,3.5515984465139327e-06,2.5236314874966085e-06,8.909007115416892e-06,1.1185312910514804e-06,2.1702060457863128e-06,3.3669553871297343e-06,3.829242997997278e-06,3.60142554189598e-06,4.157505526313885e-06,1.8110819966920499e-06,1.558384710817776e-06,2.006243530470967e-06,1.2930158286762194e-06,3.7620714830037985e-06,7.10037469075556e-06,1.8563719910136487e-06,3.05914810205056e-06,1.806201026102557e-06,8.507864349276084e-06,9.57434437475345e-07,-1.8870016997541435e-06,1.964116000290249e-06,4.431661670465279e-06,4.788386129569389e-06,2.4287005110595517e-07,1.5777141333518527e-06,5.022246093441533e-06,1.3766283108945694e-06,3.482267520031299e-06,2.052272795451831e-06,1.2316123010056548e-06,5.046392340209305e-07,1.672798941897771e-06,-8.521607416844734e-08,5.926371782789892e-06,3.1935074302693434e-06,4.721535733934704e-06,4.465785867944962e-06,6.400712309722085e-06,2.003875941539077e-06,2.2000583945394647e-06,2.3143287033349957e-06,5.586925360882277e-06,1.4605587503668202e-07,2.96914056986915e-06,4.368741835520555e-06,2.12542697961107e-06,2.404453988559767e-06,2.596407659638583e-06,-7.508303707145198e-07,3.700983029826394e-06,-1.4270317267811104e-06,1.7436748513525932e-06,2.281360222290517e-06,7.063451958538997e-06,2.5143012624530296e-06,2.296913062089118e-06,2.5625580965217285e-06,4.497176961113723e-06,3.068668766684113e-06,3.3050578033757653e-06,1.5178975337210994e-06,-1.3027081457182403e-07,1.7592770671124917e-06,1.0935730014141794e-06,2.4940861757486034e-06,1.0928785347829534e-06,4.595086887952631e-06,-6.918965572020852e-07,4.5794936687799296e-06,3.3472204367506104e-06,5.443037129448097e-07,3.5443420847368575e-06,7.305604443043018e-06,3.064961294863988e-06,1.802237083315281e-06,2.625793052052176e-07,2.899354896800465e-06
